Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Untitled 4,Untitled 5,Type
17/11/2017 16:36:32.313,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:33.312,0.117187,0.273437,0.375977,0.126953,0.463867,1.259766,2
17/11/2017 16:36:34.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:35.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:36.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:37.314,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:38.317,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:39.317,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:40.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:41.315,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:42.320,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:43.318,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:44.318,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:45.318,0.117187,0.27832,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:46.318,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:47.320,0.117187,0.273437,0.375977,0.12207,0.463867,1.264648,2
17/11/2017 16:36:48.319,0.117187,0.273437,0.375977,0.126953,0.463867,1.264648,2
17/11/2017 16:36:49.319,0.117187,0.27832,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:50.323,0.117187,0.273437,0.375977,0.126953,0.463867,1.259766,2
17/11/2017 16:36:51.321,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:52.320,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:53.325,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:54.323,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:55.323,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:56.322,0.117187,0.273437,0.375977,0.12207,0.463867,1.259766,2
17/11/2017 16:36:57.326,0.117187,0.273437,0.375977,0.12207,0.458984,1.259766,2
17/11/2017 16:36:58.324,0.117187,0.273437,0.375977,0.12207,0.454102,1.254883,2
17/11/2017 16:36:59.325,0.117187,0.268555,0.371094,0.12207,0.449219,1.25,2
17/11/2017 16:37:00.323,0.117187,0.263672,0.371094,0.12207,0.444336,1.245117,2
17/11/2017 16:37:01.323,0.117187,0.258789,0.366211,0.12207,0.444336,1.235352,2
17/11/2017 16:37:02.323,0.117187,0.253906,0.366211,0.12207,0.439453,1.230469,2
17/11/2017 16:37:03.327,0.117187,0.253906,0.361328,0.12207,0.439453,1.220703,2
17/11/2017 16:37:04.325,0.117187,0.249023,0.356445,0.12207,0.43457,1.210937,2
